ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
K00799,glutathione S-transferase [EC:2.5.1.18],67,0.793207279,2.55261324,6.69E-15,2.03E-12,1.57E-12,4062,"tags=64%, list=12%, signal=57%",Nitab4.5_0000923g0100.1/Nitab4.5_0011583g0010.1/Nitab4.5_0006055g0010.1/Nitab4.5_0008292g0020.1/Nitab4.5_0000008g0200.1/Nitab4.5_0000008g0130.1/Nitab4.5_0017813g0010.1/Nitab4.5_0002823g0010.1/Nitab4.5_0006766g0020.1/Nitab4.5_0000641g0050.1/Nitab4.5_0000652g0050.1/Nitab4.5_0007720g0010.1/Nitab4.5_0007436g0010.1/Nitab4.5_0000892g0010.1/Nitab4.5_0000008g0060.1/Nitab4.5_0008292g0010.1/Nitab4.5_0000356g0010.1/Nitab4.5_0000026g0020.1/Nitab4.5_0009332g0030.1/Nitab4.5_0000026g0030.1/Nitab4.5_0006055g0020.1/Nitab4.5_0012932g0010.1/Nitab4.5_0004523g0050.1/Nitab4.5_0001864g0080.1/Nitab4.5_0008696g0020.1/Nitab4.5_0000385g0220.1/Nitab4.5_0012027g0010.1/Nitab4.5_0000008g0030.1/Nitab4.5_0008696g0010.1/Nitab4.5_0000008g0190.1/Nitab4.5_0000008g0170.1/Nitab4.5_0009332g0010.1/Nitab4.5_0008580g0020.1/Nitab4.5_0000008g0150.1/Nitab4.5_0012359g0020.1/Nitab4.5_0000202g0470.1/Nitab4.5_0000639g0200.1/Nitab4.5_0000008g0080.1/Nitab4.5_0002776g0080.1/Nitab4.5_0001864g0090.1/Nitab4.5_0004176g0020.1/Nitab4.5_0000317g0210.1/Nitab4.5_0002470g0030.1
K11254,histone H4,18,-0.923670425,-2.299765938,3.07E-11,4.64E-09,3.60E-09,2700,"tags=100%, list=8%, signal=92%",Nitab4.5_0005718g0020.1/Nitab4.5_0000610g0120.1/Nitab4.5_0000610g0030.1/Nitab4.5_0004370g0020.1/Nitab4.5_0000022g0390.1/Nitab4.5_0005525g0080.1/Nitab4.5_0000182g0080.1/Nitab4.5_0000270g0260.1/Nitab4.5_0003782g0010.1/Nitab4.5_0009435g0050.1/Nitab4.5_0001831g0110.1/Nitab4.5_0001304g0020.1/Nitab4.5_0003969g0050.1/Nitab4.5_0005718g0010.1/Nitab4.5_0006342g0050.1/Nitab4.5_0000070g0210.1/Nitab4.5_0009655g0040.1
K13420,LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1],23,0.880333166,2.329115188,2.34E-09,2.36E-07,1.83E-07,2474,"tags=78%, list=7%, signal=73%",Nitab4.5_0000462g0180.1/Nitab4.5_0002177g0010.1/Nitab4.5_0002177g0170.1/Nitab4.5_0003843g0010.1/Nitab4.5_0002405g0040.1/Nitab4.5_0000057g0040.1/Nitab4.5_0000462g0170.1/Nitab4.5_0002177g0100.1/Nitab4.5_0001307g0030.1/Nitab4.5_0001038g0050.1/Nitab4.5_0001265g0050.1/Nitab4.5_0005928g0010.1/Nitab4.5_0001288g0190.1/Nitab4.5_0008451g0010.1/Nitab4.5_0010556g0030.1/Nitab4.5_0004886g0040.1/Nitab4.5_0000880g0080.1/Nitab4.5_0001288g0100.1
K21777,"G2/mitotic-specific cyclin-B, other",14,-0.920596802,-2.114931679,5.58E-09,4.23E-07,3.28E-07,1972,"tags=93%, list=6%, signal=88%",Nitab4.5_0002862g0010.1/Nitab4.5_0002300g0070.1/Nitab4.5_0002850g0040.1/Nitab4.5_0005719g0030.1/Nitab4.5_0000428g0070.1/Nitab4.5_0008332g0040.1/Nitab4.5_0000495g0180.1/Nitab4.5_0000123g0600.1/Nitab4.5_0002606g0030.1/Nitab4.5_0000588g0060.1/Nitab4.5_0000702g0100.1/Nitab4.5_0000699g0040.1/Nitab4.5_0000062g0170.1
K08900,mitochondrial chaperone BCS1,33,0.804279703,2.266343321,3.42E-08,1.91E-06,1.48E-06,2771,"tags=70%, list=8%, signal=64%",Nitab4.5_0002252g0030.1/Nitab4.5_0001665g0040.1/Nitab4.5_0001665g0030.1/Nitab4.5_0008224g0010.1/Nitab4.5_0009066g0010.1/Nitab4.5_0004485g0020.1/Nitab4.5_0014191g0020.1/Nitab4.5_0006969g0030.1/Nitab4.5_0000383g0190.1/Nitab4.5_0000344g0120.1/Nitab4.5_0005999g0010.1/Nitab4.5_0000530g0040.1/Nitab4.5_0000339g0010.1/Nitab4.5_0001239g0160.1/Nitab4.5_0000015g0160.1/Nitab4.5_0000026g0280.1/Nitab4.5_0000199g0050.1/Nitab4.5_0003313g0010.1/Nitab4.5_0005229g0020.1/Nitab4.5_0003265g0030.1/Nitab4.5_0001239g0170.1/Nitab4.5_0000723g0220.1/Nitab4.5_0000136g0240.1
K14484,auxin-responsive protein IAA,36,-0.762345123,-2.212475064,3.79E-08,1.91E-06,1.48E-06,3970,"tags=75%, list=11%, signal=67%",Nitab4.5_0004203g0060.1/Nitab4.5_0007760g0040.1/Nitab4.5_0000525g0140.1/Nitab4.5_0006985g0010.1/Nitab4.5_0000187g0160.1/Nitab4.5_0004899g0110.1/Nitab4.5_0001556g0100.1/Nitab4.5_0008524g0010.1/Nitab4.5_0004203g0040.1/Nitab4.5_0001004g0020.1/Nitab4.5_0002424g0010.1/Nitab4.5_0010194g0010.1/Nitab4.5_0010384g0010.1/Nitab4.5_0006344g0020.1/Nitab4.5_0003039g0030.1/Nitab4.5_0001497g0010.1/Nitab4.5_0002438g0090.1/Nitab4.5_0000355g0060.1/Nitab4.5_0003159g0010.1/Nitab4.5_0001592g0020.1/Nitab4.5_0022877g0010.1/Nitab4.5_0000109g0360.1/Nitab4.5_0005838g0020.1/Nitab4.5_0001878g0010.1/Nitab4.5_0000823g0020.1/Nitab4.5_0003159g0030.1/Nitab4.5_0000351g0240.1
K09338,homeobox-leucine zipper protein,64,-0.665332127,-2.163912936,9.83E-08,4.26E-06,3.30E-06,5939,"tags=61%, list=17%, signal=51%",Nitab4.5_0008369g0020.1/Nitab4.5_0002107g0010.1/Nitab4.5_0004973g0030.1/Nitab4.5_0005109g0040.1/Nitab4.5_0011605g0010.1/Nitab4.5_0004843g0050.1/Nitab4.5_0002347g0050.1/Nitab4.5_0000091g0520.1/Nitab4.5_0003131g0030.1/Nitab4.5_0011884g0020.1/Nitab4.5_0010053g0010.1/Nitab4.5_0000411g0020.1/Nitab4.5_0007840g0010.1/Nitab4.5_0004624g0050.1/Nitab4.5_0001755g0110.1/Nitab4.5_0006460g0030.1/Nitab4.5_0001180g0060.1/Nitab4.5_0003055g0010.1/Nitab4.5_0007602g0040.1/Nitab4.5_0000185g0030.1/Nitab4.5_0005726g0020.1/Nitab4.5_0003553g0130.1/Nitab4.5_0001298g0010.1/Nitab4.5_0011619g0010.1/Nitab4.5_0003066g0010.1/Nitab4.5_0003586g0060.1/Nitab4.5_0002969g0060.1/Nitab4.5_0002301g0020.1/Nitab4.5_0003062g0050.1/Nitab4.5_0001614g0200.1/Nitab4.5_0004337g0010.1/Nitab4.5_0001137g0020.1/Nitab4.5_0000786g0030.1/Nitab4.5_0007274g0030.1/Nitab4.5_0008633g0010.1/Nitab4.5_0007283g0060.1/Nitab4.5_0002874g0030.1/Nitab4.5_0001079g0040.1/Nitab4.5_0000274g0090.1
K05909,laccase [EC:1.10.3.2],21,-0.830113273,-2.158174677,1.72E-07,6.51E-06,5.04E-06,5148,"tags=95%, list=15%, signal=81%",Nitab4.5_0000258g0240.1/Nitab4.5_0006115g0040.1/Nitab4.5_0000178g0220.1/Nitab4.5_0007653g0020.1/Nitab4.5_0000178g0190.1/Nitab4.5_0006115g0050.1/Nitab4.5_0014356g0020.1/Nitab4.5_0000136g0350.1/Nitab4.5_0000202g0040.1/Nitab4.5_0000652g0210.1/Nitab4.5_0000770g0100.1/Nitab4.5_0007563g0020.1/Nitab4.5_0005100g0040.1/Nitab4.5_0004912g0040.1/Nitab4.5_0003865g0050.1/Nitab4.5_0003024g0010.1/Nitab4.5_0000463g0010.1/Nitab4.5_0000673g0190.1/Nitab4.5_0007025g0010.1/Nitab4.5_0001326g0010.1
K20628,expansin,32,-0.760238219,-2.140175057,2.03E-07,6.68E-06,5.18E-06,2983,"tags=78%, list=8%, signal=72%",Nitab4.5_0007410g0040.1/Nitab4.5_0003323g0020.1/Nitab4.5_0000040g0160.1/Nitab4.5_0000005g0110.1/Nitab4.5_0000042g0030.1/Nitab4.5_0000046g0160.1/Nitab4.5_0010278g0040.1/Nitab4.5_0003845g0060.1/Nitab4.5_0005766g0020.1/Nitab4.5_0000121g0100.1/Nitab4.5_0007674g0040.1/Nitab4.5_0010422g0030.1/Nitab4.5_0002648g0070.1/Nitab4.5_0003761g0030.1/Nitab4.5_0001911g0100.1/Nitab4.5_0011032g0010.1/Nitab4.5_0000568g0030.1/Nitab4.5_0008247g0040.1/Nitab4.5_0005644g0010.1/Nitab4.5_0000463g0150.1/Nitab4.5_0001326g0130.1/Nitab4.5_0000635g0020.1/Nitab4.5_0002526g0030.1/Nitab4.5_0000512g0170.1/Nitab4.5_0012132g0010.1
K15803,(-)-germacrene D synthase [EC:4.2.3.75],11,0.937558571,2.09508456,2.21E-07,6.68E-06,5.18E-06,816,"tags=82%, list=2%, signal=80%",Nitab4.5_0001461g0050.1/Nitab4.5_0002717g0050.1/Nitab4.5_0002485g0030.1/Nitab4.5_0010662g0010.1/Nitab4.5_0000130g0370.1/Nitab4.5_0005904g0070.1/Nitab4.5_0000414g0110.1/Nitab4.5_0002485g0020.1/Nitab4.5_0005904g0010.1
